access_monitoring_data
event_id,user_id,user_role,resource_accessed,resource_sensitivity,timestamp,location,device_type,access_type,records_viewed,is_authorized,is_privacy_violation
61,1008,Customer Service,flight_logs,0,2025-01-30 04:40:00,IL,remote_server,export,35,1,0
62,1003,HR,flight_logs,0,2025-01-09 03:02:00,IL,mobile,read,44,0,0
63,1013,Finance,maintenance_logs,0,2025-01-16 17:34:00,NY,remote_server,read,16,0,0
64,1049,Finance,payroll_records,1,2025-01-12 14:13:00,TX,remote_server,read,14,1,0
65,1066,Finance,payroll_records,1,2025-01-17 13:49:00,FL,laptop,export,74,1,0
66,1079,Customer Service,customer_table,1,2025-01-14 16:01:00,IL,mobile,delete,90,1,0
67,1041,Pilot,flight_logs,0,2025-01-26 05:33:00,CA,web_portal,delete,47,1,0
68,1085,Pilot,payroll_records,1,2025-01-29 00:18:00,IL,mobile,delete,80,0,1
69,1070,HR,flight_logs,0,2025-01-14 01:23:00,CA,remote_server,export,60,0,0
70,1059,Pilot,maintenance_logs,0,2025-01-10 17:25:00,IL,remote_server,write,30,1,0
71,1084,HR,flight_logs,0,2025-01-24 11:00:00,IL,mobile,read,60,0,0
72,1096,IT,flight_logs,0,2025-01-11 05:22:00,CA,web_portal,read,96,1,0
73,1005,IT,maintenance_logs,0,2025-01-28 19:40:00,TX,remote_server,delete,48,1,0
74,1080,Finance,payroll_records,1,2025-01-18 11:24:00,FL,remote_server,write,96,1,0
75,1018,HR,customer_table,1,2025-01-20 08:22:00,CA,web_portal,delete,28,0,1
76,1006,Finance,payroll_records,1,2025-01-06 12:33:00,FL,web_portal,delete,74,1,0
77,1085,Finance,hr_files,1,2025-01-28 02:23:00,NY,remote_server,delete,52,0,1
78,1070,Pilot,payroll_records,1,2025-01-22 14:28:00,FL,mobile,write,41,0,1
79,1081,Customer Service,hr_files,1,2025-01-23 01:18:00,CA,mobile,delete,52,0,1
80,1009,Customer Service,payroll_records,1,2025-01-13 08:47:00,NY,mobile,read,9,0,1
81,1017,IT,payroll_records,1,2025-01-18 10:22:00,CA,web_portal,read,43,0,1
82,1053,Pilot,flight_logs,0,2025-01-25 16:40:00,FL,remote_server,read,60,1,0
83,1026,Pilot,maintenance_logs,0,2025-01-27 13:58:00,TX,remote_server,delete,94,1,0
84,1000,Customer Service,flight_logs,0,2025-01-18 17:58:00,FL,web_portal,delete,34,1,0
85,1028,Customer Service,maintenance_logs,0,2025-01-23 02:27:00,TX,remote_server,export,25,0,0
86,1085,Pilot,payroll_records,1,2025-01-22 06:30:00,CA,laptop,delete,34,0,1
87,1075,Finance,customer_table,1,2025-01-04 19:41:00,FL,web_portal,delete,77,1,0
88,1023,HR,flight_logs,0,2025-01-18 06:04:00,NY,web_portal,delete,59,0,0
89,1041,Customer Service,maintenance_logs,0,2025-01-13 15:55:00,FL,mobile,read,34,0,0
90,1060,HR,hr_files,1,2025-01-03 08:53:00,NY,web_portal,read,65,1,0
91,1099,HR,customer_table,1,2025-01-12 06:05:00,CA,laptop,write,52,0,1
92,1030,IT,maintenance_logs,0,2025-01-06 04:56:00,IL,web_portal,delete,79,1,0
93,1089,Customer Service,flight_logs,0,2025-01-08 15:16:00,IL,laptop,write,28,1,0
94,1039,HR,hr_files,1,2025-01-02 04:02:00,NY,remote_server,delete,40,1,0
95,1091,IT,customer_table,1,2025-01-27 22:43:00,CA,laptop,export,38,1,0
96,1087,Finance,customer_table,1,2025-01-26 18:08:00,TX,mobile,delete,6,1,0
97,1084,Customer Service,customer_table,1,2025-01-24 00:38:00,NY,laptop,delete,58,1,0
98,1062,HR,maintenance_logs,0,2025-01-17 11:36:00,FL,web_portal,delete,57,0,0
99,1022,Finance,flight_logs,0,2025-01-29 00:44:00,IL,remote_server,delete,50,0,0
100,1055,Finance,flight_logs,0,2025-01-15 16:02:00,CA,laptop,export,42,0,0
101,1057,IT,maintenance_logs,0,2025-01-26 22:25:00,IL,remote_server,export,7,1,0
102,1003,Pilot,flight_logs,0,2025-01-09 06:37:00,FL,web_portal,export,37,1,0
103,1033,Customer Service,flight_logs,0,2025-01-28 03:09:00,NY,laptop,write,39,1,0
104,1010,IT,maintenance_logs,0,2025-01-23 05:39:00,IL,web_portal,delete,25,1,0
105,1082,Pilot,maintenance_logs,0,2025-01-01 18:50:00,TX,mobile,write,45,1,0
106,1051,IT,flight_logs,0,2025-01-27 11:12:00,NY,remote_server,export,62,1,0
107,1054,Finance,flight_logs,0,2025-01-17 00:16:00,FL,mobile,export,106,0,0
108,1032,IT,customer_table,1,2025-01-09 18:21:00,NY,laptop,write,55,1,0
109,1024,IT,maintenance_logs,0,2025-01-13 14:00:00,IL,mobile,read,57,1,0
110,1024,Customer Service,payroll_records,1,2025-01-17 10:10:00,CA,mobile,read,47,0,1
111,1090,Finance,payroll_records,1,2025-01-13 11:37:00,TX,laptop,export,7,1,0
112,1089,IT,maintenance_logs,0,2025-01-05 16:03:00,TX,mobile,delete,49,1,0
113,1061,Pilot,flight_logs,0,2025-01-09 09:22:00,TX,mobile,delete,51,1,0
114,1014,HR,maintenance_logs,0,2025-01-23 09:07:00,TX,laptop,write,123,0,0
115,1019,Finance,flight_logs,0,2025-01-04 21:02:00,CA,laptop,delete,44,0,0
116,1077,Finance,hr_files,1,2025-01-11 06:30:00,IL,remote_server,delete,59,0,1
117,1056,Customer Service,hr_files,1,2025-01-20 12:23:00,NY,laptop,read,48,0,1
118,1097,IT,payroll_records,1,2025-01-13 01:03:00,TX,web_portal,write,14,0,1
119,1022,Finance,customer_table,1,2025-01-08 02:58:00,TX,remote_server,delete,84,1,0
120,1088,Finance,maintenance_logs,0,2025-01-14 06:07:00,TX,web_portal,export,72,0,0
121,1090,Customer Service,maintenance_logs,0,2025-01-04 05:44:00,CA,mobile,write,73,0,0
122,1054,HR,hr_files,1,2025-01-11 05:33:00,CA,mobile,write,22,1,0
123,1009,HR,payroll_records,1,2025-01-14 23:59:00,IL,mobile,delete,92,1,0
124,1015,Pilot,flight_logs,0,2025-01-19 07:38:00,NY,remote_server,delete,7,1,0
125,1010,Finance,customer_table,1,2025-01-20 15:53:00,NY,mobile,read,67,1,0
126,1011,IT,hr_files,1,2025-01-27 17:17:00,TX,mobile,read,115,1,0
127,1097,IT,maintenance_logs,0,2025-01-24 14:50:00,FL,mobile,write,20,1,0
128,1074,Pilot,maintenance_logs,0,2025-01-05 03:39:00,FL,mobile,delete,33,1,0
129,1042,Customer Service,customer_table,1,2025-01-08 07:39:00,NY,remote_server,delete,52,1,0
130,1036,Pilot,hr_files,1,2025-01-02 16:04:00,FL,laptop,export,34,0,1
131,1032,Customer Service,customer_table,1,2025-01-19 09:28:00,IL,laptop,delete,3,1,0
132,1052,HR,payroll_records,1,2025-01-24 14:16:00,NY,remote_server,delete,52,1,0
133,1097,HR,payroll_records,1,2025-01-13 03:41:00,IL,web_portal,export,18,1,0
134,1056,Pilot,customer_table,1,2025-01-02 07:31:00,IL,web_portal,write,64,0,1
135,1039,Finance,customer_table,1,2025-01-26 03:12:00,FL,laptop,write,22,1,0
136,1014,Pilot,customer_table,1,2025-01-30 11:28:00,CA,remote_server,export,96,0,1
137,1065,Customer Service,maintenance_logs,0,2025-01-22 23:01:00,FL,web_portal,delete,26,0,0
138,1070,IT,maintenance_logs,0,2025-01-09 16:11:00,IL,web_portal,read,40,1,0
139,1035,Pilot,flight_logs,0,2025-01-24 02:35:00,NY,laptop,export,74,1,0
140,1092,Customer Service,hr_files,1,2025-01-27 09:25:00,FL,web_portal,delete,13,0,1
141,1068,Pilot,flight_logs,0,2025-01-16 03:06:00,IL,remote_server,delete,56,1,0
142,1041,IT,payroll_records,1,2025-01-27 00:33:00,FL,web_portal,delete,89,0,1
143,1005,Customer Service,maintenance_logs,0,2025-01-18 08:24:00,FL,web_portal,delete,1,0,0
144,1004,IT,hr_files,1,2025-01-27 20:38:00,NY,laptop,delete,55,1,0
145,1012,Finance,maintenance_logs,0,2025-01-01 16:45:00,CA,remote_server,write,57,0,0
146,1009,Pilot,flight_logs,0,2025-01-16 09:47:00,IL,remote_server,read,73,1,0
147,1042,Finance,maintenance_logs,0,2025-01-15 09:52:00,FL,laptop,read,12,0,0
148,1030,Customer Service,payroll_records,1,2025-01-05 02:43:00,FL,laptop,read,10,0,1
149,1056,IT,flight_logs,0,2025-01-02 07:37:00,TX,mobile,read,65,1,0
150,1037,Customer Service,flight_logs,0,2025-01-20 14:25:00,CA,web_portal,delete,58,1,0
151,1072,IT,payroll_records,1,2025-01-08 23:13:00,TX,remote_server,write,57,0,1
152,1063,Finance,payroll_records,1,2025-01-11 13:36:00,FL,mobile,delete,60,1,0
153,1032,HR,maintenance_logs,0,2025-01-14 02:10:00,IL,web_portal,read,29,0,0
154,1056,Customer Service,hr_files,1,2025-01-14 14:45:00,FL,mobile,delete,56,0,1
155,1038,IT,maintenance_logs,0,2025-01-22 23:47:00,TX,web_portal,delete,58,1,0
156,1073,Customer Service,hr_files,1,2025-01-14 11:10:00,NY,laptop,delete,28,0,1
157,1035,HR,hr_files,1,2025-01-03 05:34:00,IL,remote_server,export,105,1,0
158,1099,IT,hr_files,1,2025-01-17 00:49:00,CA,web_portal,export,64,1,0
159,1086,IT,customer_table,1,2025-01-29 13:21:00,TX,mobile,delete,14,1,0
160,1004,Finance,flight_logs,0,2025-01-06 23:32:00,TX,mobile,export,69,0,0
161,1095,Pilot,payroll_records,1,2025-01-10 03:19:00,CA,mobile,export,20,0,1
162,1021,Customer Service,maintenance_logs,0,2025-01-14 10:22:00,NY,laptop,delete,73,0,0
163,1009,IT,payroll_records,1,2025-01-19 02:04:00,IL,mobile,read,84,0,1
164,1050,HR,flight_logs,0,2025-01-25 10:04:00,TX,remote_server,export,25,0,0
165,1086,Customer Service,hr_files,1,2025-01-18 08:10:00,NY,laptop,write,78,0,1
166,1060,HR,hr_files,1,2025-01-26 13:12:00,NY,web_portal,read,62,1,0
167,1081,Pilot,flight_logs,0,2025-01-30 13:08:00,FL,laptop,write,74,1,0
168,1005,HR,flight_logs,0,2025-01-23 10:04:00,TX,laptop,write,106,0,0
169,1068,IT,maintenance_logs,0,2025-01-21 15:29:00,NY,remote_server,write,42,1,0
170,1053,HR,maintenance_logs,0,2025-01-29 00:27:00,FL,mobile,read,27,0,0
171,1088,Customer Service,payroll_records,1,2025-01-21 04:17:00,FL,web_portal,export,23,0,1
172,1012,Customer Service,hr_files,1,2025-01-30 08:19:00,NY,laptop,delete,25,0,1
173,1035,IT,customer_table,1,2025-01-21 16:40:00,TX,web_portal,read,47,1,0
174,1006,Customer Service,payroll_records,1,2025-01-06 17:32:00,IL,web_portal,read,60,0,1
175,1097,Finance,payroll_records,1,2025-01-27 16:29:00,CA,web_portal,export,58,1,0
176,1099,IT,hr_files,1,2025-01-01 03:05:00,NY,web_portal,write,74,1,0
177,1069,Customer Service,payroll_records,1,2025-01-06 00:04:00,TX,web_portal,read,50,0,1
178,1045,IT,hr_files,1,2025-01-15 17:38:00,TX,web_portal,export,93,1,0
179,1006,IT,maintenance_logs,0,2025-01-24 22:37:00,TX,laptop,delete,42,1,0
180,1057,Customer Service,hr_files,1,2025-01-28 00:26:00,TX,remote_server,write,131,0,1
181,1078,HR,hr_files,1,2025-01-14 17:27:00,FL,laptop,read,68,1,0
182,1061,Pilot,maintenance_logs,0,2025-01-05 21:55:00,FL,remote_server,read,24,1,0
183,1010,Customer Service,hr_files,1,2025-01-07 18:01:00,TX,web_portal,export,17,0,1
184,1079,Finance,hr_files,1,2025-01-15 19:11:00,FL,mobile,delete,64,0,1
185,1064,Finance,maintenance_logs,0,2025-01-05 12:19:00,TX,web_portal,delete,43,0,0
186,1057,IT,maintenance_logs,0,2025-01-16 10:12:00,FL,remote_server,delete,71,1,0
187,1093,HR,flight_logs,0,2025-01-20 10:08:00,NY,mobile,export,64,0,0
188,1019,Pilot,customer_table,1,2025-01-05 03:38:00,TX,laptop,delete,47,0,1
189,1012,Customer Service,payroll_records,1,2025-01-26 07:42:00,TX,mobile,read,24,0,1
190,1052,Customer Service,maintenance_logs,0,2025-01-03 08:11:00,NY,mobile,export,4,0,0
191,1013,Finance,hr_files,1,2025-01-10 16:22:00,CA,remote_server,write,36,0,1
192,1013,Customer Service,hr_files,1,2025-01-17 17:28:00,TX,mobile,write,75,0,1
193,1054,Finance,hr_files,1,2025-01-28 22:11:00,IL,laptop,export,56,0,1
194,1003,IT,flight_logs,0,2025-01-15 01:29:00,NY,mobile,read,12,1,0
195,1023,IT,hr_files,1,2025-01-30 21:59:00,FL,laptop,write,55,1,0
196,1094,HR,customer_table,1,2025-01-25 03:25:00,CA,remote_server,delete,61,0,1
197,1058,Customer Service,payroll_records,1,2025-01-17 20:11:00,NY,mobile,read,23,0,1
198,1006,IT,payroll_records,1,2025-01-29 02:50:00,TX,laptop,export,54,0,1
199,1056,Pilot,maintenance_logs,0,2025-01-28 15:05:00,FL,remote_server,export,51,1,0
200,1027,Finance,customer_table,1,2025-01-16 17:01:00,FL,laptop,export,15,1,0
201,1086,Finance,maintenance_logs,0,2025-01-24 23:33:00,NY,laptop,write,60,0,0
202,1050,Finance,customer_table,1,2025-01-01 08:23:00,CA,mobile,write,66,1,0
203,1098,IT,flight_logs,0,2025-01-14 04:09:00,NY,laptop,read,82,1,0
204,1063,Pilot,payroll_records,1,2025-01-06 21:06:00,FL,web_portal,export,81,0,1
205,1009,Pilot,customer_table,1,2025-01-20 20:28:00,TX,remote_server,read,8,0,1
206,1040,Finance,maintenance_logs,0,2025-01-27 02:18:00,FL,remote_server,export,21,0,0
207,1014,Pilot,customer_table,1,2025-01-15 18:44:00,CA,remote_server,export,65,0,1
208,1011,Pilot,customer_table,1,2025-01-12 01:45:00,FL,remote_server,read,65,0,1
209,1050,Customer Service,flight_logs,0,2025-01-11 02:00:00,NY,web_portal,read,65,1,0
210,1065,HR,hr_files,1,2025-01-24 05:00:00,CA,mobile,export,165,1,0
211,1093,IT,payroll_records,1,2025-01-05 16:17:00,CA,mobile,write,67,0,1
212,1022,Finance,payroll_records,1,2025-01-30 19:59:00,TX,web_portal,delete,84,1,0
213,1059,Finance,hr_files,1,2025-01-21 10:19:00,IL,mobile,export,78,0,1
214,1019,Pilot,customer_table,1,2025-01-22 08:11:00,FL,mobile,export,69,0,1
215,1075,HR,flight_logs,0,2025-01-24 02:08:00,TX,mobile,delete,40,0,0
216,1057,HR,customer_table,1,2025-01-17 18:45:00,NY,laptop,read,72,0,1
217,1078,Finance,hr_files,1,2025-01-18 11:57:00,FL,laptop,delete,26,0,1
218,1073,IT,flight_logs,0,2025-01-28 12:49:00,FL,web_portal,read,42,1,0
219,1057,HR,flight_logs,0,2025-01-04 20:06:00,IL,web_portal,read,35,0,0
220,1031,Pilot,maintenance_logs,0,2025-01-24 20:25:00,IL,web_portal,export,52,1,0
221,1047,Customer Service,maintenance_logs,0,2025-01-19 14:29:00,NY,laptop,export,119,0,0
222,1008,Customer Service,customer_table,1,2025-01-26 09:26:00,FL,mobile,export,6,1,0
223,1092,Finance,payroll_records,1,2025-01-16 04:07:00,TX,web_portal,export,70,1,0
224,1039,Pilot,payroll_records,1,2025-01-28 01:56:00,TX,mobile,delete,1,0,1
225,1082,Customer Service,payroll_records,1,2025-01-24 22:57:00,TX,remote_server,export,35,0,1
226,1002,Customer Service,flight_logs,0,2025-01-09 04:53:00,CA,mobile,delete,82,1,0
227,1024,IT,payroll_records,1,2025-01-08 01:14:00,TX,mobile,read,51,0,1
228,1064,Finance,hr_files,1,2025-01-02 17:13:00,NY,web_portal,delete,17,0,1
229,1019,IT,payroll_records,1,2025-01-29 10:22:00,CA,remote_server,read,28,0,1
230,1052,Customer Service,payroll_records,1,2025-01-21 05:11:00,IL,mobile,delete,70,0,1
231,1029,Finance,payroll_records,1,2025-01-15 02:01:00,FL,web_portal,export,28,1,0
232,1086,Finance,maintenance_logs,0,2025-01-22 00:16:00,NY,remote_server,delete,56,0,0
233,1020,IT,hr_files,1,2025-01-07 07:10:00,NY,laptop,delete,51,1,0
234,1047,Finance,customer_table,1,2025-01-24 11:30:00,TX,mobile,read,30,1,0
235,1097,IT,flight_logs,0,2025-01-21 10:46:00,IL,web_portal,delete,114,1,0
236,1011,IT,maintenance_logs,0,2025-01-16 21:50:00,TX,remote_server,read,69,1,0
237,1050,Finance,flight_logs,0,2025-01-11 17:31:00,FL,laptop,export,10,0,0
238,1028,HR,flight_logs,0,2025-01-05 12:13:00,NY,web_portal,write,55,0,0
239,1004,Customer Service,maintenance_logs,0,2025-01-07 07:35:00,FL,remote_server,read,30,0,0
240,1010,HR,flight_logs,0,2025-01-10 19:33:00,CA,remote_server,read,75,0,0
241,1099,Customer Service,payroll_records,1,2025-01-14 16:56:00,TX,laptop,write,26,0,1
242,1053,Finance,maintenance_logs,0,2025-01-03 20:36:00,TX,remote_server,read,46,0,0
243,1080,Finance,hr_files,1,2025-01-12 00:15:00,CA,mobile,delete,65,0,1
244,1000,Finance,flight_logs,0,2025-01-11 22:45:00,IL,remote_server,write,75,0,0
245,1085,HR,hr_files,1,2025-01-17 09:52:00,TX,laptop,delete,13,1,0
246,1060,HR,maintenance_logs,0,2025-01-17 23:44:00,NY,laptop,export,39,0,0
247,1100,HR,flight_logs,0,2025-01-11 23:22:00,TX,mobile,write,35,0,0
248,1005,Customer Service,hr_files,1,2025-01-16 09:47:00,CA,remote_server,delete,30,0,1
249,1080,IT,payroll_records,1,2025-01-03 20:55:00,FL,laptop,export,102,0,1
250,1025,HR,payroll_records,1,2025-01-02 21:46:00,NY,mobile,delete,62,1,0
251,1069,Pilot,flight_logs,0,2025-01-02 15:59:00,CA,mobile,export,12,1,0
252,1099,HR,flight_logs,0,2025-01-13 10:25:00,TX,mobile,delete,77,0,0
253,1051,Pilot,maintenance_logs,0,2025-01-16 10:19:00,CA,remote_server,delete,113,1,0
254,1047,Finance,flight_logs,0,2025-01-04 18:14:00,FL,laptop,delete,80,0,0
255,1077,IT,hr_files,1,2025-01-14 08:52:00,NY,laptop,read,4,1,0
256,1041,Customer Service,flight_logs,0,2025-01-21 07:03:00,IL,remote_server,write,35,1,0
257,1088,Pilot,flight_logs,0,2025-01-21 08:23:00,TX,mobile,delete,88,1,0
258,1035,HR,customer_table,1,2025-01-30 00:20:00,FL,mobile,write,28,0,1
259,1003,IT,hr_files,1,2025-01-20 22:36:00,TX,web_portal,read,63,1,0
260,1030,Customer Service,flight_logs,0,2025-01-18 10:10:00,IL,laptop,write,73,1,0
261,1086,Pilot,flight_logs,0,2025-01-17 22:20:00,FL,laptop,write,22,1,0
262,1067,Customer Service,maintenance_logs,0,2025-01-15 07:23:00,NY,web_portal,read,48,0,0
263,1003,IT,maintenance_logs,0,2025-01-24 13:30:00,FL,laptop,export,47,1,0
264,1099,Customer Service,maintenance_logs,0,2025-01-10 18:22:00,IL,mobile,delete,19,0,0
265,1025,HR,payroll_records,1,2025-01-04 08:53:00,FL,web_portal,delete,42,1,0
266,1011,Customer Service,flight_logs,0,2025-01-03 22:55:00,IL,mobile,export,12,1,0
267,1020,IT,flight_logs,0,2025-01-24 03:41:00,CA,laptop,write,98,1,0
268,1017,IT,maintenance_logs,0,2025-01-02 04:42:00,NY,mobile,delete,7,1,0
269,1070,IT,hr_files,1,2025-01-04 22:10:00,TX,mobile,delete,36,1,0
270,1091,Pilot,hr_files,1,2025-01-19 16:41:00,FL,laptop,write,53,0,1
271,1040,HR,maintenance_logs,0,2025-01-22 04:48:00,IL,mobile,write,93,0,0
272,1099,Finance,hr_files,1,2025-01-09 06:45:00,CA,remote_server,read,6,0,1
273,1015,Finance,payroll_records,1,2025-01-14 20:11:00,CA,web_portal,export,84,1,0
274,1090,IT,flight_logs,0,2025-01-24 14:46:00,NY,laptop,export,50,1,0
275,1025,Finance,flight_logs,0,2025-01-06 16:43:00,NY,laptop,write,20,0,0
276,1075,Finance,payroll_records,1,2025-01-08 18:59:00,IL,mobile,read,63,1,0
277,1003,HR,customer_table,1,2025-01-30 04:38:00,IL,mobile,write,55,0,1
278,1098,Finance,maintenance_logs,0,2025-01-29 03:08:00,TX,remote_server,export,31,0,0
279,1082,Customer Service,maintenance_logs,0,2025-01-12 03:28:00,FL,mobile,delete,52,0,0
280,1009,HR,payroll_records,1,2025-01-21 00:09:00,FL,remote_server,delete,38,1,0
281,1026,Customer Service,hr_files,1,2025-01-07 12:55:00,NY,mobile,export,53,0,1
282,1051,IT,flight_logs,0,2025-01-24 10:29:00,IL,laptop,export,69,1,0
283,1030,Pilot,customer_table,1,2025-01-13 04:09:00,FL,web_portal,write,97,0,1
284,1012,HR,flight_logs,0,2025-01-18 11:35:00,IL,remote_server,write,12,0,0
285,1020,Customer Service,hr_files,1,2025-01-15 05:34:00,CA,web_portal,delete,113,0,1
286,1065,Pilot,maintenance_logs,0,2025-01-15 01:00:00,FL,laptop,read,8,1,0
287,1050,Finance,maintenance_logs,0,2025-01-11 22:56:00,CA,mobile,read,45,0,0
288,1006,Customer Service,maintenance_logs,0,2025-01-28 04:38:00,FL,mobile,read,67,0,0
289,1013,Pilot,payroll_records,1,2025-01-13 00:52:00,NY,remote_server,export,58,0,1
290,1005,Pilot,customer_table,1,2025-01-26 22:53:00,IL,web_portal,export,31,0,1
291,1070,Customer Service,customer_table,1,2025-01-18 13:59:00,IL,remote_server,export,43,1,0
292,1079,Finance,customer_table,1,2025-01-06 20:32:00,TX,remote_server,export,35,1,0
293,1043,Finance,flight_logs,0,2025-01-07 13:34:00,CA,remote_server,read,32,0,0
294,1005,HR,payroll_records,1,2025-01-16 03:46:00,FL,remote_server,write,75,1,0
295,1077,Finance,payroll_records,1,2025-01-15 22:13:00,IL,mobile,write,60,1,0
296,1050,Finance,flight_logs,0,2025-01-28 00:30:00,NY,remote_server,export,29,0,0
297,1060,HR,flight_logs,0,2025-01-16 01:48:00,TX,remote_server,export,76,0,0
298,1092,HR,hr_files,1,2025-01-22 14:22:00,NY,web_portal,read,59,1,0
299,1074,Pilot,payroll_records,1,2025-01-24 20:36:00,IL,remote_server,write,74,0,1
300,1087,IT,customer_table,1,2025-01-27 01:23:00,TX,web_portal,read,68,1,0
